                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.117,                0.74874,                 1.0146,                0.86554,                 0.7553,                0.81938,                0.58552,                  1.032,                 0.6125,                0.96826,               0.006535,               0.006535,               0.006535
                     37,                 1.1237,                0.74693,                 1.0107,                0.85249,                0.76345,                0.82056,                0.58652,                 1.0322,                0.61014,                0.96788,               0.006436,               0.006436,               0.006436
                     38,                 1.1096,                 0.7392,                 1.0109,                0.86252,                0.75769,                0.81884,                0.58722,                 1.0342,                0.60786,                0.96804,               0.006337,               0.006337,               0.006337
                     39,                 1.1202,                0.74027,                 1.0092,                0.86138,                0.76015,                0.82138,                0.58854,                 1.0368,                0.60645,                0.96639,               0.006238,               0.006238,               0.006238
                     40,                 1.1113,                0.73521,                 1.0114,                0.85858,                0.76544,                0.82246,                0.58975,                 1.0316,                0.60339,                0.96503,               0.006139,               0.006139,               0.006139
                     41,                 1.1055,                0.73386,                 1.0085,                0.86642,                0.76442,                0.82626,                0.59313,                 1.0254,                0.59647,                 0.9627,                0.00604,                0.00604,                0.00604
                     42,                 1.1042,                 0.7226,                 1.0057,                0.86671,                 0.7602,                0.82502,                0.59313,                 1.0234,                0.59654,                0.96336,               0.005941,               0.005941,               0.005941
                     43,                 1.0992,                0.72578,                 1.0079,                0.86136,                0.76456,                0.82417,                0.59325,                 1.0232,                0.59461,                0.96336,               0.005842,               0.005842,               0.005842
                     44,                 1.1024,                0.72287,                 1.0093,                0.86131,                0.76714,                0.82689,                 0.5949,                 1.0272,                0.59434,                0.96365,               0.005743,               0.005743,               0.005743
                     45,                 1.1016,                0.71547,                 1.0036,                0.87161,                0.76568,                0.82931,                0.59623,                  1.024,                0.59232,                0.96228,               0.005644,               0.005644,               0.005644
                     46,                 1.1005,                 0.7111,                 1.0025,                 0.8702,                0.76787,                0.82967,                0.59729,                 1.0244,                0.59155,                0.96217,               0.005545,               0.005545,               0.005545
                     47,                 1.1013,                0.71642,                 1.0021,                0.86827,                0.76911,                0.82798,                0.59713,                  1.019,                0.59082,                0.96122,               0.005446,               0.005446,               0.005446
                     48,                 1.0976,                0.71523,                 1.0036,                0.86996,                 0.7709,                0.83077,                0.59859,                 1.0168,                0.58902,                0.95995,               0.005347,               0.005347,               0.005347
                     49,                 1.0876,                0.69961,                0.99713,                0.87063,                0.77155,                0.83261,                0.60093,                  1.017,                 0.5866,                0.95894,               0.005248,               0.005248,               0.005248
                     50,                 1.0895,                0.70222,                0.99885,                0.86466,                0.77382,                0.83364,                0.60292,                 1.0158,                0.58481,                0.95861,               0.005149,               0.005149,               0.005149
                     51,                 1.0883,                 0.6983,                0.99903,                0.86699,                0.77497,                0.83294,                0.60181,                 1.0148,                0.58301,                0.95793,                0.00505,                0.00505,                0.00505
                     52,                 1.0805,                0.69778,                 0.9993,                0.86697,                0.77588,                0.83236,                 0.6029,                 1.0146,                0.58231,                0.95755,               0.004951,               0.004951,               0.004951
                     53,                  1.081,                0.69534,                0.99833,                 0.8594,                0.77838,                 0.8331,                0.60408,                 1.0131,                0.58143,                 0.9571,               0.004852,               0.004852,               0.004852
                     54,                 1.0813,                0.69256,                 0.9973,                0.87138,                0.77389,                0.83453,                0.60561,                 1.0105,                0.57944,                0.95647,               0.004753,               0.004753,               0.004753
                     55,                 1.0835,                0.69119,                0.99705,                 0.8654,                0.77838,                  0.835,                0.60581,                 1.0094,                0.57753,                0.95631,               0.004654,               0.004654,               0.004654
                     56,                 1.0834,                 0.6883,                0.99126,                0.87029,                0.77446,                0.83369,                0.60615,                 1.0075,                0.57605,                0.95559,               0.004555,               0.004555,               0.004555
                     57,                 1.0693,                 0.6814,                0.99171,                0.87021,                0.77359,                0.83363,                0.60597,                 1.0081,                0.57573,                0.95563,               0.004456,               0.004456,               0.004456
                     58,                 1.0632,                 0.6747,                0.98946,                0.87283,                0.77491,                0.83533,                0.60751,                 1.0081,                0.57469,                0.95565,               0.004357,               0.004357,               0.004357
                     59,                 1.0654,                0.67668,                 0.9903,                0.87587,                0.77416,                0.83543,                0.60737,                 1.0084,                0.57387,                0.95525,               0.004258,               0.004258,               0.004258
                     60,                 1.0656,                0.67513,                0.98889,                0.86924,                0.77839,                0.83549,                0.60788,                 1.0079,                0.57311,                0.95504,               0.004159,               0.004159,               0.004159
                     61,                 1.0706,                0.67251,                0.99051,                0.87337,                0.77622,                0.83611,                 0.6086,                 1.0083,                0.57262,                0.95498,                0.00406,                0.00406,                0.00406
                     62,                  1.067,                 0.6703,                0.98691,                0.87501,                0.77432,                0.83672,                0.60924,                 1.0075,                0.57175,                0.95458,               0.003961,               0.003961,               0.003961
                     63,                 1.0641,                0.66833,                0.98872,                0.87931,                0.77334,                0.83732,                0.60961,                 1.0065,                0.57058,                0.95411,               0.003862,               0.003862,               0.003862
                     64,                 1.0637,                0.66607,                0.98536,                0.87705,                0.77375,                0.83653,                0.61042,                 1.0063,                0.57008,                0.95398,               0.003763,               0.003763,               0.003763
