                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.9139,                 5.1517,                 2.6959,                0.00069,                0.02299,                0.00075,                 0.0002,                  3.205,                  5.322,                  3.036,             0.00028489,             0.00028489,             0.00028489
                     35,                 2.8702,                 5.1498,                 2.6957,                0.00072,                0.01632,                0.00053,                0.00016,                 3.1795,                 4.6427,                 3.0027,             0.00028077,             0.00028077,             0.00028077
                     36,                 2.9308,                 5.1472,                  2.682,                0.00072,                0.02577,                0.00077,                0.00026,                 3.1809,                 5.1009,                 2.9842,             0.00027664,             0.00027664,             0.00027664
                     37,                 2.8819,                 5.1331,                 2.6838,                0.20087,                0.00099,                0.00059,                0.00017,                 3.2138,                 4.7085,                  3.008,             0.00027251,             0.00027251,             0.00027251
                     38,                  2.915,                 5.1499,                 2.6848,                0.00053,                0.05294,                0.00076,                0.00021,                 3.2245,                  6.227,                 3.0209,             0.00026838,             0.00026838,             0.00026838
                     39,                 2.9093,                 5.1564,                 2.6728,                0.00358,                 0.0571,                0.00286,                 0.0009,                 3.2046,                 5.0474,                 3.0159,             0.00026425,             0.00026425,             0.00026425
                     40,                 2.9109,                 5.1375,                 2.6754,                0.00113,                0.04985,                0.00219,                 0.0006,                  3.231,                 6.4997,                 3.0555,             0.00026012,             0.00026012,             0.00026012
                     41,                 2.8779,                 5.1193,                 2.6809,                  0.001,                0.04049,                0.00348,                0.00125,                 3.2218,                 6.2995,                 3.0437,               0.000256,               0.000256,               0.000256
                     42,                 2.8936,                 5.0992,                 2.6866,                 0.0009,                0.04922,                0.00233,                0.00061,                 3.1931,                 4.9971,                  3.008,             0.00025187,             0.00025187,             0.00025187
                     43,                 2.9113,                 5.1323,                 2.6713,                0.00116,                0.04999,                0.00207,                0.00053,                 3.1982,                 5.7135,                 3.0006,             0.00024774,             0.00024774,             0.00024774
                     44,                  2.907,                 5.1293,                 2.6726,                0.20136,                0.00396,                0.00108,                 0.0003,                 3.1781,                 4.6592,                 2.9838,             0.00024361,             0.00024361,             0.00024361
                     45,                 2.8844,                 5.1338,                 2.6683,                0.00097,                 0.0415,                0.00121,                0.00033,                 3.1877,                 4.6303,                 2.9856,             0.00023948,             0.00023948,             0.00023948
                     46,                 2.9032,                 5.1255,                 2.6611,                0.30124,                0.00149,                0.00108,                0.00032,                 3.1972,                 4.6395,                 2.9813,             0.00023535,             0.00023535,             0.00023535
                     47,                 2.8923,                 5.0684,                 2.6534,                 0.2514,                  0.004,                 0.0014,                0.00037,                 3.2336,                 5.1097,                 3.0232,             0.00023123,             0.00023123,             0.00023123
                     48,                  2.901,                 5.1158,                 2.6605,                0.00117,                0.07212,                0.00217,                0.00063,                 3.2377,                 4.9211,                 3.0184,              0.0002271,              0.0002271,              0.0002271
                     49,                 2.8831,                 5.0873,                 2.6498,                0.25344,                0.00313,                0.00153,                0.00038,                 3.2382,                 6.4986,                 3.0061,             0.00022297,             0.00022297,             0.00022297
                     50,                 2.9072,                 5.0491,                 2.6629,                0.25138,                0.01014,                 0.0013,                 0.0003,                 3.2428,                 4.7472,                 3.0097,             0.00021884,             0.00021884,             0.00021884
                     51,                 2.8481,                 5.1323,                 2.6601,                0.00124,                0.04928,                0.00132,                0.00034,                 3.2015,                 4.5893,                 2.9759,             0.00021471,             0.00021471,             0.00021471
                     52,                 2.8777,                 5.0964,                 2.6578,                0.00092,                0.08352,                0.00356,                0.00104,                 3.1788,                  4.564,                 2.9716,             0.00021059,             0.00021059,             0.00021059
                     53,                 2.8623,                 5.1326,                 2.6547,                0.00101,                0.06781,                0.00204,                0.00054,                 3.1864,                 4.5666,                 2.9777,             0.00020646,             0.00020646,             0.00020646
                     54,                  2.934,                 5.0566,                 2.6386,                0.00095,                0.06649,                0.00225,                0.00058,                  3.226,                 4.6053,                 2.9973,             0.00020233,             0.00020233,             0.00020233
                     55,                  2.888,                 5.0476,                 2.6385,                0.00084,                0.06704,                0.00249,                0.00071,                 3.2062,                  4.636,                 2.9792,              0.0001982,              0.0001982,              0.0001982
                     56,                 2.8695,                 5.0886,                  2.658,                0.00081,                0.06268,                0.00182,                0.00049,                 3.1815,                 4.5832,                 2.9678,             0.00019407,             0.00019407,             0.00019407
                     57,                 2.8755,                 5.0398,                 2.6472,                0.25101,                0.01101,                0.00306,                0.00077,                 3.1928,                 4.5975,                   2.98,             0.00018994,             0.00018994,             0.00018994
                     58,                 2.8985,                 5.0522,                 2.6558,                 0.0008,                0.07174,                0.00172,                0.00046,                 3.2013,                  4.552,                 2.9828,             0.00018582,             0.00018582,             0.00018582
                     59,                 2.9028,                   5.16,                  2.655,                0.00111,                0.05584,                0.00185,                0.00046,                 3.1728,                 4.5927,                 2.9597,             0.00018169,             0.00018169,             0.00018169
                     60,                 2.8852,                 5.0629,                 2.6316,                0.00084,                0.05869,                0.00116,                0.00031,                 3.2001,                 4.5884,                 2.9811,             0.00017756,             0.00017756,             0.00017756
                     61,                 2.9321,                 5.0316,                 2.6333,                0.00093,                0.06439,                0.00286,                0.00074,                 3.2172,                 4.5746,                 2.9745,             0.00017343,             0.00017343,             0.00017343
                     62,                 2.9095,                  5.006,                 2.6386,                0.00079,                0.07197,                0.00243,                0.00063,                 3.2088,                 4.7705,                 2.9766,              0.0001693,              0.0001693,              0.0001693
                     63,                 2.9232,                 5.0254,                 2.6328,                0.00088,                0.07785,                 0.0023,                0.00056,                 3.2024,                 4.6391,                 2.9647,             0.00016517,             0.00016517,             0.00016517
                     64,                 2.9424,                 5.0068,                 2.6122,                0.00092,                0.06384,                0.00168,                0.00042,                 3.2018,                 4.5886,                 2.9741,             0.00016105,             0.00016105,             0.00016105
