                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6877,                  2.348,                 1.7728,                0.61483,                0.41189,                0.41182,                0.24019,                 1.6272,                 1.8043,                 1.7348,             0.00028489,             0.00028489,             0.00028489
                     35,                 1.6604,                 2.3585,                 1.7612,                0.63943,                0.39535,                0.41888,                0.23728,                 1.6102,                 1.7495,                 1.7073,             0.00028077,             0.00028077,             0.00028077
                     36,                 1.6589,                 2.2673,                 1.7199,                0.60117,                0.42171,                0.41994,                0.24401,                 1.6053,                 1.7011,                 1.7069,             0.00027664,             0.00027664,             0.00027664
                     37,                 1.6328,                 2.2857,                 1.7367,                 0.5787,                0.43553,                0.43462,                0.25289,                 1.6059,                 1.7822,                 1.7168,             0.00027251,             0.00027251,             0.00027251
                     38,                 1.6446,                  2.281,                 1.7276,                0.55823,                0.43067,                0.44092,                 0.2551,                 1.5654,                 1.7219,                 1.6828,             0.00026838,             0.00026838,             0.00026838
                     39,                 1.6395,                 2.2754,                 1.7102,                0.65488,                0.39533,                0.44167,                0.26179,                 1.5975,                 1.6619,                 1.6893,             0.00026425,             0.00026425,             0.00026425
                     40,                 1.6552,                 2.2826,                 1.7176,                0.61926,                0.43187,                0.43985,                0.26253,                 1.6135,                 1.7156,                  1.704,             0.00026012,             0.00026012,             0.00026012
                     41,                 1.6051,                 2.1921,                  1.713,                 0.5197,                 0.4099,                0.44337,                0.27053,                 1.5898,                 1.6162,                 1.6838,               0.000256,               0.000256,               0.000256
                     42,                 1.6046,                  2.187,                 1.7044,                0.58579,                0.40665,                0.43604,                0.25866,                 1.6057,                  1.648,                 1.6944,             0.00025187,             0.00025187,             0.00025187
                     43,                  1.613,                 2.1984,                  1.694,                0.63188,                0.43045,                0.46306,                0.26851,                 1.5878,                   1.62,                 1.6961,             0.00024774,             0.00024774,             0.00024774
                     44,                 1.6221,                 2.2298,                 1.6951,                0.57098,                0.43053,                 0.4557,                0.26974,                 1.5579,                 1.6685,                  1.672,             0.00024361,             0.00024361,             0.00024361
                     45,                 1.5798,                 2.1505,                 1.6799,                0.59787,                0.44468,                0.48058,                0.28318,                 1.5557,                 1.6387,                 1.6544,             0.00023948,             0.00023948,             0.00023948
                     46,                 1.5938,                 2.1686,                 1.6817,                 0.5493,                0.44236,                0.47568,                0.27527,                 1.5697,                 1.5855,                 1.6718,             0.00023535,             0.00023535,             0.00023535
