                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2569,                0.96433,                 1.1438,                0.80036,                0.62643,                0.68999,                0.45396,                 1.1771,                 0.8129,                  1.086,               0.006535,               0.006535,               0.006535
                     37,                 1.2529,                0.97137,                 1.1451,                0.79667,                0.63179,                 0.6951,                0.45935,                 1.1772,                0.80502,                 1.0868,               0.006436,               0.006436,               0.006436
                     38,                 1.2428,                0.96682,                 1.1435,                0.80244,                 0.6308,                0.69597,                0.46082,                 1.1801,                0.81295,                 1.0861,               0.006337,               0.006337,               0.006337
                     39,                 1.2369,                0.95519,                 1.1378,                0.78876,                0.64652,                0.70572,                0.46773,                 1.1561,                0.79469,                 1.0782,               0.006238,               0.006238,               0.006238
                     40,                 1.2346,                0.95062,                 1.1357,                0.81388,                0.64354,                0.70713,                  0.469,                 1.1596,                0.79121,                 1.0779,               0.006139,               0.006139,               0.006139
                     41,                 1.2332,                0.95348,                 1.1359,                0.80999,                0.64666,                 0.7086,                0.46822,                 1.1626,                0.78949,                 1.0763,                0.00604,                0.00604,                0.00604
                     42,                 1.2347,                0.94389,                 1.1359,                0.80743,                 0.6465,                0.71091,                0.47023,                 1.1618,                0.78604,                 1.0746,               0.005941,               0.005941,               0.005941
                     43,                 1.2295,                0.93755,                 1.1299,                0.80255,                0.65787,                0.71539,                0.47652,                 1.1546,                0.77743,                 1.0718,               0.005842,               0.005842,               0.005842
                     44,                 1.2211,                0.93586,                  1.134,                0.80739,                0.65799,                0.71807,                0.47755,                 1.1493,                0.77128,                 1.0705,               0.005743,               0.005743,               0.005743
                     45,                 1.2182,                0.92863,                  1.125,                0.80684,                0.65962,                0.72025,                0.47935,                 1.1407,                0.76591,                 1.0665,               0.005644,               0.005644,               0.005644
                     46,                 1.2124,                0.92721,                  1.124,                0.80542,                0.66358,                0.72102,                 0.4822,                 1.1478,                0.76453,                 1.0676,               0.005545,               0.005545,               0.005545
                     47,                 1.2228,                0.91098,                 1.1205,                0.80612,                0.65977,                0.71956,                 0.4811,                 1.1493,                0.76633,                 1.0652,               0.005446,               0.005446,               0.005446
