                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3278,                 1.2678,                 1.3447,                0.69129,                0.62025,                 0.6632,                0.42992,                 1.2175,                 1.0632,                 1.2658,               0.006634,               0.006634,               0.006634
                     36,                 1.3185,                   1.25,                 1.3333,                0.73944,                0.61634,                0.67847,                 0.4362,                 1.2285,                 1.0542,                 1.2616,               0.006535,               0.006535,               0.006535
                     37,                 1.3143,                 1.2171,                 1.3223,                0.76958,                0.61302,                0.68096,                0.44018,                 1.2214,                 1.0324,                 1.2543,               0.006436,               0.006436,               0.006436
                     38,                 1.2992,                 1.2163,                 1.3238,                0.69996,                0.64386,                0.68509,                0.44294,                 1.2047,                 1.0056,                 1.2457,               0.006337,               0.006337,               0.006337
                     39,                 1.3021,                 1.1977,                 1.3069,                0.72522,                0.61506,                0.66971,                0.43748,                   1.21,                 1.0201,                 1.2506,               0.006238,               0.006238,               0.006238
                     40,                  1.282,                 1.1751,                 1.3028,                0.74676,                0.63331,                0.69542,                0.45049,                 1.2083,                 1.0117,                 1.2441,               0.006139,               0.006139,               0.006139
                     41,                 1.2791,                 1.1816,                 1.3011,                0.74299,                0.62865,                0.69088,                0.45815,                 1.1685,                 1.0045,                 1.2299,                0.00604,                0.00604,                0.00604
                     42,                 1.2671,                 1.1595,                 1.2917,                0.74748,                0.63742,                0.69668,                0.45448,                 1.1862,                0.98298,                  1.234,               0.005941,               0.005941,               0.005941
                     43,                 1.2761,                 1.1587,                  1.286,                0.71827,                0.66887,                0.71568,                0.47318,                 1.1775,                0.95759,                 1.2196,               0.005842,               0.005842,               0.005842
                     44,                 1.2653,                  1.148,                  1.289,                0.78083,                0.64297,                0.71236,                0.46418,                 1.1728,                0.97088,                 1.2182,               0.005743,               0.005743,               0.005743
                     45,                 1.2584,                 1.1358,                 1.2802,                0.70522,                0.66741,                0.70769,                0.47074,                 1.1589,                0.96209,                 1.2126,               0.005644,               0.005644,               0.005644
                     46,                 1.2492,                 1.1315,                 1.2799,                0.76476,                0.67018,                0.71493,                0.47422,                 1.1729,                 0.9476,                 1.2219,               0.005545,               0.005545,               0.005545
                     47,                 1.2545,                 1.1407,                 1.2825,                0.73431,                0.66864,                0.70934,                0.47094,                 1.1522,                0.94207,                 1.2063,               0.005446,               0.005446,               0.005446
                     48,                  1.244,                 1.1106,                 1.2656,                0.77064,                  0.663,                0.72425,                0.48059,                 1.1404,                0.94434,                 1.1978,               0.005347,               0.005347,               0.005347
                     49,                 1.2305,                 1.1046,                 1.2637,                0.78095,                0.67563,                0.72732,                 0.4851,                 1.1561,                0.92062,                  1.205,               0.005248,               0.005248,               0.005248
                     50,                 1.2518,                 1.1024,                 1.2666,                0.73354,                0.69883,                 0.7341,                0.49011,                 1.1415,                0.90636,                 1.1992,               0.005149,               0.005149,               0.005149
                     51,                 1.2279,                 1.0961,                 1.2559,                0.77913,                0.67492,                0.72786,                0.48804,                 1.1422,                0.90806,                 1.1951,                0.00505,                0.00505,                0.00505
                     52,                 1.2288,                 1.0815,                 1.2548,                0.78123,                0.70064,                0.75094,                0.50289,                 1.1417,                0.90524,                 1.1902,               0.004951,               0.004951,               0.004951
                     53,                 1.2169,                 1.0658,                  1.254,                0.78881,                0.69311,                0.74864,                0.50195,                 1.1248,                0.89984,                 1.1859,               0.004852,               0.004852,               0.004852
                     54,                 1.2095,                 1.0745,                 1.2509,                0.78305,                0.68042,                0.74359,                0.49915,                 1.1377,                0.89237,                  1.193,               0.004753,               0.004753,               0.004753
                     55,                 1.2141,                 1.0595,                 1.2512,                0.76263,                0.71042,                0.75152,                0.50361,                 1.1407,                0.88298,                 1.1904,               0.004654,               0.004654,               0.004654
                     56,                 1.2042,                 1.0505,                 1.2452,                 0.8244,                0.69732,                  0.761,                0.51069,                   1.12,                0.87164,                 1.1818,               0.004555,               0.004555,               0.004555
                     57,                 1.1928,                 1.0295,                 1.2292,                0.78457,                0.71128,                0.76031,                0.51312,                 1.1214,                0.88171,                 1.1812,               0.004456,               0.004456,               0.004456
                     58,                 1.2029,                 1.0423,                 1.2452,                 0.8083,                0.70159,                0.75461,                0.51441,                 1.1165,                0.86488,                 1.1748,               0.004357,               0.004357,               0.004357
                     59,                  1.195,                 1.0316,                 1.2317,                0.76682,                0.71968,                0.76149,                0.51769,                 1.1092,                 0.8563,                 1.1751,               0.004258,               0.004258,               0.004258
                     60,                 1.1819,                 1.0235,                  1.233,                0.80949,                0.69595,                0.76181,                0.52226,                  1.096,                0.84479,                 1.1657,               0.004159,               0.004159,               0.004159
                     61,                 1.1922,                 1.0168,                 1.2283,                0.80707,                0.71191,                0.77202,                0.52484,                    1.1,                0.84634,                 1.1651,                0.00406,                0.00406,                0.00406
                     62,                 1.1752,                 1.0172,                 1.2283,                0.80646,                0.71503,                0.77396,                0.53196,                 1.0938,                0.83724,                  1.161,               0.003961,               0.003961,               0.003961
                     63,                 1.1823,                 1.0018,                 1.2187,                0.81068,                0.69878,                0.76949,                 0.5285,                 1.1083,                0.84691,                 1.1644,               0.003862,               0.003862,               0.003862
                     64,                 1.1715,                0.99762,                 1.2127,                0.78643,                0.72009,                0.77227,                0.53031,                 1.0905,                0.83668,                 1.1573,               0.003763,               0.003763,               0.003763
                     65,                 1.1601,                0.97758,                 1.2091,                0.78569,                0.71826,                0.77634,                0.53162,                 1.0926,                0.82075,                 1.1556,               0.003664,               0.003664,               0.003664
                     66,                 1.1425,                0.96325,                  1.206,                0.78827,                0.72851,                0.77684,                0.53481,                 1.0939,                0.82243,                 1.1563,               0.003565,               0.003565,               0.003565
                     67,                 1.1518,                0.99243,                 1.2155,                0.81903,                0.71844,                0.77488,                0.53574,                 1.0873,                0.81927,                 1.1522,               0.003466,               0.003466,               0.003466
                     68,                  1.145,                0.96439,                 1.1965,                0.80255,                0.73701,                0.78357,                0.53883,                 1.0931,                0.82016,                 1.1574,               0.003367,               0.003367,               0.003367
                     69,                 1.1348,                0.95426,                 1.1958,                0.79146,                0.73496,                0.77853,                0.53946,                  1.087,                0.81277,                 1.1499,               0.003268,               0.003268,               0.003268
                     70,                 1.1434,                0.95331,                 1.1943,                0.81994,                0.72894,                0.78966,                0.54874,                 1.0848,                0.80481,                 1.1512,               0.003169,               0.003169,               0.003169
                     71,                 1.1441,                0.93767,                 1.1966,                0.81441,                0.73248,                0.78237,                0.54409,                 1.0856,                0.80582,                 1.1486,                0.00307,                0.00307,                0.00307
                     72,                 1.1372,                0.94456,                 1.1981,                0.82609,                 0.7275,                0.78819,                0.54805,                 1.0753,                0.80361,                 1.1432,               0.002971,               0.002971,               0.002971
                     73,                 1.1326,                0.93993,                 1.1895,                0.82297,                0.71833,                0.78656,                0.54894,                 1.0714,                0.79356,                 1.1412,               0.002872,               0.002872,               0.002872
                     74,                 1.1235,                0.93299,                 1.1886,                0.80262,                0.74783,                0.79155,                0.55425,                 1.0632,                 0.7871,                 1.1356,               0.002773,               0.002773,               0.002773
                     75,                 1.1231,                0.93051,                 1.1843,                0.84276,                0.74384,                0.80064,                0.55679,                 1.0718,                0.79139,                 1.1429,               0.002674,               0.002674,               0.002674
                     76,                 1.1116,                0.92162,                 1.1777,                0.84933,                0.72159,                0.79443,                0.55393,                 1.0689,                0.78944,                 1.1392,               0.002575,               0.002575,               0.002575
                     77,                 1.1088,                0.91129,                 1.1839,                0.84203,                0.73639,                0.79849,                 0.5593,                 1.0612,                0.78302,                 1.1328,               0.002476,               0.002476,               0.002476
                     78,                 1.0976,                0.92067,                 1.1842,                0.85058,                0.73251,                0.79834,                 0.5599,                  1.054,                0.77907,                 1.1323,               0.002377,               0.002377,               0.002377
                     79,                 1.1041,                0.90141,                 1.1743,                0.84892,                0.72491,                0.79443,                0.55937,                 1.0608,                0.78226,                 1.1332,               0.002278,               0.002278,               0.002278
                     80,                 1.0922,                0.88322,                 1.1648,                0.83493,                0.75056,                0.80015,                0.56277,                 1.0622,                0.77364,                  1.133,               0.002179,               0.002179,               0.002179
                     81,                 1.0915,                0.89361,                 1.1707,                0.83081,                0.75423,                0.80277,                0.56197,                 1.0545,                0.76753,                 1.1305,                0.00208,                0.00208,                0.00208
                     82,                 1.0999,                0.90464,                  1.171,                0.85964,                0.73835,                0.80513,                0.56498,                 1.0524,                0.76815,                 1.1298,               0.001981,               0.001981,               0.001981
                     83,                  1.096,                0.89082,                 1.1675,                0.86548,                0.72447,                0.80524,                0.56768,                 1.0526,                 0.7661,                 1.1278,               0.001882,               0.001882,               0.001882
                     84,                 1.0872,                0.87987,                 1.1633,                 0.8695,                0.72967,                0.80556,                0.56943,                 1.0545,                0.76782,                  1.128,               0.001783,               0.001783,               0.001783
                     85,                 1.0867,                 0.8759,                 1.1601,                0.85677,                0.73592,                0.80473,                0.56558,                  1.051,                0.76112,                 1.1257,               0.001684,               0.001684,               0.001684
                     86,                 1.0775,                0.86741,                 1.1585,                0.84268,                0.74713,                0.80542,                0.57198,                 1.0496,                 0.7581,                 1.1261,               0.001585,               0.001585,               0.001585
                     87,                 1.0688,                0.85717,                 1.1527,                0.81607,                0.76913,                0.80994,                 0.5735,                 1.0497,                0.75883,                 1.1255,               0.001486,               0.001486,               0.001486
                     88,                 1.0746,                0.87693,                 1.1626,                0.83228,                0.74998,                0.80786,                0.57532,                 1.0462,                0.75454,                  1.123,               0.001387,               0.001387,               0.001387
                     89,                 1.0845,                0.87327,                 1.1625,                0.83809,                0.75044,                0.80874,                0.57059,                 1.0476,                0.75179,                 1.1228,               0.001288,               0.001288,               0.001288
                     90,                 1.0764,                0.85457,                 1.1494,                0.86663,                0.74731,                 0.8116,                0.57226,                 1.0435,                 0.7529,                  1.122,               0.001189,               0.001189,               0.001189
                     91,                0.99706,                 0.7786,                 1.1245,                0.85121,                0.75213,                 0.8111,                0.57713,                 1.0494,                0.75418,                 1.1235,                0.00109,                0.00109,                0.00109
                     92,                 0.9755,                0.74954,                 1.1135,                0.86405,                0.74525,                0.81467,                0.58073,                 1.0401,                0.75075,                 1.1216,               0.000991,               0.000991,               0.000991
                     93,                 0.9805,                0.73954,                 1.1137,                0.86127,                0.75733,                0.81853,                0.58801,                 1.0399,                0.75009,                 1.1216,               0.000892,               0.000892,               0.000892
                     94,                0.95838,                0.73308,                 1.1061,                0.82943,                0.76422,                0.81462,                0.58592,                  1.037,                0.74736,                 1.1184,               0.000793,               0.000793,               0.000793
                     95,                0.96878,                0.73341,                 1.1045,                0.85272,                0.75153,                0.81707,                0.58785,                 1.0304,                0.74058,                 1.1159,               0.000694,               0.000694,               0.000694
                     96,                0.95552,                0.72051,                 1.0962,                0.88431,                0.73577,                0.81782,                0.58646,                 1.0339,                0.74117,                 1.1164,               0.000595,               0.000595,               0.000595
                     97,                0.95159,                0.72765,                 1.1002,                0.89104,                0.73211,                0.82057,                0.58938,                 1.0339,                0.73744,                 1.1153,               0.000496,               0.000496,               0.000496
                     98,                0.94472,                0.71178,                 1.0956,                0.87507,                0.75008,                0.82068,                 0.5903,                 1.0314,                0.73626,                 1.1149,               0.000397,               0.000397,               0.000397
                     99,                0.94614,                0.70993,                 1.0915,                0.88614,                0.74244,                0.82101,                0.59133,                  1.032,                0.73389,                 1.1153,               0.000298,               0.000298,               0.000298
                    100,                0.94076,                0.70957,                  1.093,                0.87382,                0.74784,                0.82068,                 0.5914,                 1.0295,                0.73316,                 1.1143,               0.000199,               0.000199,               0.000199
